date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:07	60145/60145	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/fancy-box.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/fancy-boxbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:07	48864/48864	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/isotope.pkgd.min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/isotope.pkgd.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:09	85403/85403	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jul%202020%2010:40:06%20GMT	http://adshapedigital.com/wp-content/themes/qik-child/assets/js/radiantthemes-loadmore.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik-child/assets/js/radiantthemes-loadmorebc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:13	7829/7829	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/radiantthemes-addons-custom.js?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/radiantthemes-addons-custombc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:15	3964/3964	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/rt-velocity.ui.js?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/rt-velocity.uibc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:17	6497/6497	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/rt-vertical-menu.js?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/rt-vertical-menubc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:17	19010/19010	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/css/radiantthemes-blocks.css?ver=1594806155	adshapedigital.com/wp-content/themes/qik/assets/css/radiantthemes-blocks7e94.css	(from http://adshapedigital.com/author/Dukafyadmin/)
13:40:21	44682/44682	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/velocity.min.js?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/velocity.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:23	252236/252236	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/css/radiantthemes-all.min.css?ver=1594806155	adshapedigital.com/wp-content/themes/qik/assets/css/radiantthemes-all.min7e94.css	(from http://adshapedigital.com/author/Dukafyadmin/)
13:40:27	90247/90247	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/radiantthemes-addons-core.js?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/js/radiantthemes-addons-corebc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
